,County,Vote Center ID,Address,City,Latitude,Longitude
0,APPLING,1012,245 INDUSTRIAL DR,BAXLEY,31.782211,-82.341237
1,APPLING,1018,3397 HATCH PKY N,BAXLEY,31.730804,-82.367855
2,APPLING,1001,392 ALTAMAHA SCHOOL RD,BAXLEY,31.8732,-82.563095
3,APPLING,1006,353 BLACKSHEAR HWY,BAXLEY,31.760393,-82.351507
4,APPLING,1002,252 W. PARKER ST.,BAXLEY,31.780104,-82.352513
5,APPLING,1024,5274 LAKE MAYERS RD.,BAXLEY,31.762215,-82.479644
6,APPLING,1008,83 S OAK ST,BAXLEY,31.775972,-82.344925
7,APPLING,1022,525 ZION BAPTIST CH. RD.,BAXLEY,31.863841,-82.179947
8,APPLING,1010,16 PRATT HUTTO RD SE,SURRENCY,31.611092,-82.23855
9,ATKINSON,2001,636 AUSTIN AVENUE E,PEARSON,31.293237,-82.842845
10,ATKINSON,2002,7191 ATKINSON BLVD. E.,AXSON,31.2765,-82.733274
11,ATKINSON,2012,786 AUSTIN AVENUE EAST,PEARSON,31.291999,-82.841902
12,ATKINSON,2005,33 FLEETWOOD AVENUE,WILLACOOCHEE,31.340494,-83.047438
13,BACON,3002,232 WEST 12TH STREET,ALMA,31.541619,-82.463157
14,BAKER,4001,100 GA HWY 200,LEARY,31.295163,-84.634329
15,BAKER,4004,1694 JERICHO RD,NEWTON,31.345666,-84.472967
16,BAKER,4005,5600 HOGGARDS MILL RD,COLQUITT,31.21322,-84.475345
17,BAKER,4006,1512 PATMOS MILFORD HWY,LEARY,31.381814,-84.544445
18,BAKER,4002,279 W. BROAD STREET,NEWTON,31.31502,-84.343531
19,BALDWIN,5001,121 N WILKINSON ST,MILLEDGEVILLE,33.0813,-83.228564
20,BALDWIN,5002,127 E HANCOCK ST,MILLEDGEVILLE,33.081249,-83.225882
21,BALDWIN,5003,252 COOPERS RD SW,MILLEDGEVILLE,32.978754,-83.285303
22,BALDWIN,5015,751 DUNLAP RD NE,MILLEDGEVILLE,33.112088,-83.244931
23,BALDWIN,5006,207 LOVERS LN NE,MILLEDGEVILLE,33.094374,-83.146719
24,BALDWIN,5005,201 W THOMAS ST,MILLEDGEVILLE,33.085266,-83.230403
25,BALDWIN,5009,1340 ORCHARD HILL RD,MILLEDGEVILLE,33.101011,-83.225862
26,BALDWIN,5010,124 THOMAS ST SE,MILLEDGEVILLE,33.053613,-83.228622
27,BALDWIN,5011,312 ALLEN MEMORIAL DR SW,MILLEDGEVILLE,33.055012,-83.246415
28,BALDWIN,5012,781 GA HIGHWAY 212 W,MILLEDGEVILLE,33.153919,-83.34662
29,BALDWIN,5004,184 LOG CABIN RD NE,MILLEDGEVILLE,33.151976,-83.260323
30,BALDWIN,5013,164 GORDON HWY SW,MILLEDGEVILLE,33.015911,-83.237892
31,BALDWIN,5014,59 GA HIGHWAY 22 W,MILLEDGEVILLE,33.096352,-83.275296
32,BALDWIN,5007,418 GA HIGHWAY 22 W,MILLEDGEVILLE,33.072358,-83.346925
