,County,Vote Center ID,Address,City
0,APPLING,1012,245 INDUSTRIAL DR,BAXLEY
1,APPLING,1018,3397 HATCH PKY N,BAXLEY
2,APPLING,1001,392 ALTAMAHA SCHOOL RD,BAXLEY
3,APPLING,1006,353 BLACKSHEAR HWY,BAXLEY
4,APPLING,1002,252 W. PARKER ST.,BAXLEY
5,APPLING,1024,5274 LAKE MAYERS RD.,BAXLEY
6,APPLING,1008,83 S OAK ST,BAXLEY
7,APPLING,1022,525 ZION BAPTIST CH. RD.,BAXLEY
8,APPLING,1010,16 PRATT HUTTO RD SE,SURRENCY
9,ATKINSON,2001,636 AUSTIN AVENUE E,PEARSON
10,ATKINSON,2002,7191 ATKINSON BLVD. E.,AXSON
11,ATKINSON,2012,786 AUSTIN AVENUE EAST,PEARSON
12,ATKINSON,2005,33 FLEETWOOD AVENUE,WILLACOOCHEE
13,BACON,3002,232 WEST 12TH STREET,ALMA
14,BAKER,4001,100 GA HWY 200,LEARY
15,BAKER,4004,1694 JERICHO RD,NEWTON
16,BAKER,4005,5600 HOGGARDS MILL RD,COLQUITT
17,BAKER,4006,1512 PATMOS MILFORD HWY,LEARY
18,BAKER,4002,279 W. BROAD STREET,NEWTON
19,BALDWIN,5001,121 N WILKINSON ST,MILLEDGEVILLE
20,BALDWIN,5002,127 E HANCOCK ST,MILLEDGEVILLE
21,BALDWIN,5003,252 COOPERS RD SW,MILLEDGEVILLE
22,BALDWIN,5015,751 DUNLAP RD NE,MILLEDGEVILLE
23,BALDWIN,5006,207 LOVERS LN NE,MILLEDGEVILLE
24,BALDWIN,5005,201 W THOMAS ST,MILLEDGEVILLE
25,BALDWIN,5009,1340 ORCHARD HILL RD,MILLEDGEVILLE
26,BALDWIN,5010,124 THOMAS ST SE,MILLEDGEVILLE
27,BALDWIN,5011,312 ALLEN MEMORIAL DR SW,MILLEDGEVILLE
28,BALDWIN,5012,781 GA HIGHWAY 212 W,MILLEDGEVILLE
29,BALDWIN,5004,184 LOG CABIN RD NE,MILLEDGEVILLE
30,BALDWIN,5013,164 GORDON HWY SW,MILLEDGEVILLE
